id,name,type,parent_id,,
1,Science,category,0,,
36,Computer Science,category,0,,
38,Leadership,category,0,,
46,Mathematics,category,0,,
47,Foriegn Languages,category,0,,
154,Home Schooling,category,0,,
174,Career Related,category,0,,
175,Category Test,category,0,,
183,Rename: Yoga,category,0,,
272,Rename : Exam Review,category,0,,
286,Learning Enablers,category,0,,
290,Management Software & Tools,category,0,,
315,Infrastructure,category,0,,
327,Exam Orientation,category,0,,
422,Beyond School Activities,category,0,,
432,College Admissions,category,0,,
489,Assessments,category,0,,
699,Rename : Statistics,category,0,,
740,Commerce,category,0,,
845,Independent Projects,category,0,,
1213,Competitive Examinations,category,0,,
1214,Rename : Algebra,category,0,,
1825,Exam Reviews,category,0,,
2013,English,category,0,,
2120,Physics,category,0,,
2136,PTE Academic Coaching,category,0,,
2150,Social,category,0,,
4,Linear Motion (Non Calculus),sub-category,2,,
5,Rotational Motion ( Non Calculus ) ,sub-category,2,,
6,Oscillatory Motion(Non Calculus),sub-category,2,,
12,Science Fundamentals,sub-category,14,,
15,Physical Science : Matter & Change,sub-category,14,,
17,Organic Chemistry,sub-category,3,,
24,Rename: Algebra,sub-category,21,,
25,PSAT Mathematics,sub-category,1633,,
27,Rename: Trigonometry,sub-category,21,,
29,Rename: Calculus,sub-category,21,,
31,Rename: Probability,sub-category,21,,
40,Communication,sub-category,39,,
41,Personality Development,sub-category,39,,
49,Reading,sub-category,48,,
50,Writing Skills,sub-category,48,,
51,Vocabulary,sub-category,48,,
54,Data Structures,sub-category,53,,
66,Rename: Arithmetic Fundamentals,sub-category,21,,
76,Rename: Problem Solving - Math,sub-category,21,,
87,Mobile,sub-category,83,,
88,Database Programming,sub-category,151,,
89,Web,sub-category,83,,
94,Analytics,sub-category,83,,
114,Fluids,sub-category,2,,
115,Thermal Physics,sub-category,2,,
116,Waves,sub-category,2,,
117,Electricity & Magnetism,sub-category,2,,
118,Optics,sub-category,2,,
119,Modern Physics,sub-category,2,,
152,Database Design,sub-category,151,,
156,HS Assessment,sub-category,155,,
157,Western-Tap,sub-category,155,,
185,Yoga ,sub-category,184,,
188,Career Talks,sub-category,187,,
189,Career Workshops,sub-category,187,,
193,Medicine,sub-category,187,,
194,Interior Design,sub-category,187,,
195,Information Technology,sub-category,187,,
196,Biotechnology,sub-category,187,,
197,Atomic Molecular Theory,sub-category,3,,
198,Periodic Table,sub-category,3,,
199,Chemical Bonding & Molecular Geometry,sub-category,3,,
200,Stoichiometry of Chemical Reactions,sub-category,3,,
201,Solution Chemistry,sub-category,3,,
